bullet_rating,bullet_wins,bullet_losses,bullet_draws,blitz_rating,blitz_wins,blitz_losses,blitz_draws,rapid_rating,rapid_wins,rapid_losses,rapid_draws,daily_rating,daily_wins,daily_losses,daily_draws
851,91,82,9,1208,489,440,49,1220,133,96,18,1626,193,99,11
1215,10,16,0,1003,3,8,0,,,,,,,,
,,,,1544,0,1,0,,,,,,,,
1224,12,21,0,1654,187,116,12,1348,3,2,0,1557,191,144,36
,,,,999,10,8,0,,,,,,,,
626,10,14,0,1002,193,191,10,940,35,41,1,,,,
941,130,87,2,1199,994,967,82,1015,11,4,1,1140,7,9,0
312,6,18,0,691,290,357,4,,,,,,,,
1194,2,3,0,961,2,4,0,,,,,903,8,60,0
1392,93,46,4,1669,184,79,10,1484,4,0,0,1685,17,8,0
1049,29,29,0,1050,84,87,1,1270,14,10,0,1038,8,19,0
768,0,2,0,788,80,83,4,,,,,1362,12,10,0
1518,1389,1234,84,1835,2882,2656,364,1474,26,12,0,1640,72,10,1
,,,,,,,,773,3,3,0,,,,
739,5,6,0,1047,120,117,6,1057,15,16,0,800,4,9,0
1018,1,2,0,1255,151,129,6,,,,,1110,3,0,0
,,,,969,19,20,1,1267,117,100,9,,,,
847,88,91,0,1270,766,734,52,,,,,,,,
685,0,5,0,869,84,53,5,472,0,11,0,,,,
1014,0,1,0,1393,887,861,78,1216,16,7,0,1078,5,31,0
709,1,2,0,953,186,206,10,,,,,,,,
964,74,83,3,1071,659,688,51,721,0,2,0,779,6,21,0
971,31,27,4,1188,662,623,82,1086,13,12,2,1038,25,18,0
,,,,874,1,4,0,1190,0,1,0,983,7667,8807,183
,,,,1108,8,11,0,,,,,,,,
,,,,806,6,3,0,737,35,17,8,Unrated,0,1,0
1782,1296,1289,130,1620,1157,1224,121,1556,312,308,38,957,57,86,1
1598,901,890,66,1570,4261,4298,329,1714,27,20,5,1408,3,0,0
778,5,12,0,798,38,78,1,805,4,7,0,,,,
800,0,2,0,1141,10,4,1,,,,,,,,
833,6,4,0,1217,3205,3203,258,798,0,1,0,Unrated,5,21,0
,,,,928,3,2,2,1261,836,288,46,,,,
1517,4997,4952,153,1840,9157,8641,783,,,,,1731,156,74,20
819,5,12,1,718,64,138,3,764,3,7,0,,,,
678,55,49,0,761,90,81,7,,,,,,,,
,,,,749,66,75,0,1122,90,54,4,1274,132,98,8
605,9,20,0,1006,3298,3273,205,1194,154,138,10,Unrated,0,2,0
1032,187,185,8,1046,736,708,36,1230,139,157,6,1633,202,139,2
904,11,16,0,1066,386,357,35,,,,,,,,
907,29,33,1,1544,417,372,53,1777,372,321,37,809,4,40,0
1036,0,3,0,1608,1421,1470,157,1370,1,3,0,1556,1535,881,192
608,0,1,0,1383,783,768,74,,,,,,,,
1429,54,46,0,1328,17,8,1,,,,,,,,
475,13,33,0,447,99,129,4,900,6,8,0,,,,
,,,,,,,,,,,,,,,
1755,123,97,13,1643,95,77,10,1251,1,1,0,,,,
1056,886,812,19,1128,1515,2031,113,1184,1,3,0,1321,94,71,4
1200,1,5,0,1232,144,139,10,1165,18,14,1,,,,
949,1782,1727,40,1157,297,266,14,883,2,2,0,1347,12,5,0
875,9,19,0,1030,32,37,0,978,0,1,0,,,,
814,0,0,1,448,1,5,1,666,2,10,4,872,0,1,0
1197,654,421,15,1493,948,719,36,1480,365,385,21,,,,
1232,434,867,30,1472,1809,3035,147,1631,14,60,1,1496,457,463,43
993,687,653,38,1784,663,539,47,,,,,,,,
1014,259,276,8,1222,865,809,58,1005,38,20,6,1341,28,19,0
739,415,690,8,981,1204,1960,78,1121,41,55,5,1390,763,816,54
982,56,63,5,1140,375,379,34,1250,21,14,2,1343,450,344,59
,,,,931,4,5,2,,,,,938,5,5,0
1041,1,5,0,1417,515,479,46,,,,,1042,3,1,0
701,266,252,3,818,369,395,15,890,33,34,1,851,0,1,0
809,74,50,2,1539,2889,2432,137,1491,224,133,12,1401,50,30,0
,,,,807,134,128,10,791,15,27,2,,,,
838,1122,1116,11,1137,472,478,30,,,,,,,,
1397,23,11,0,1907,474,263,23,1887,168,63,19,1866,71,51,3
1090,200,327,9,1027,90,221,16,1146,28,104,7,1031,0,2,1
1138,9,14,2,1514,558,491,43,1399,6,7,0,1425,51,41,11
864,0,3,0,1093,0,1,0,,,,,788,2,24,0
993,0,1,0,1116,507,491,31,,,,,,,,
886,0,1,0,588,7,9,0,1117,1,4,1,,,,
853,5,7,0,543,11,9,1,897,2,2,0,,,,
508,35,50,1,998,130,108,11,,,,,597,2,8,0
684,46,59,1,1017,6700,6600,503,1061,1,2,0,,,,
661,1,12,0,1088,173,181,2,1436,10,9,0,920,2,5,0
796,6,4,0,1232,547,496,47,1024,18,13,4,758,2,6,0
594,6,12,0,822,3128,3248,127,824,1,2,0,,,,
1027,82,100,2,1264,810,739,101,1156,104,46,5,,,,
376,1,5,0,788,127,134,17,872,89,90,5,949,102,99,3
695,25,13,0,629,59,40,1,,,,,829,1,1,1
455,16,31,0,544,12,17,0,800,80,78,5,,,,
1499,21,13,3,1821,167,96,15,1437,36,41,3,Unrated,0,1,0
1043,1241,1183,27,1164,400,382,27,1014,13,11,0,1127,16,6,1
